model,datasets,n_metric_obs,mean_z,median_z,rank,agc_rank,aa_match_name,aa_match_conf,gpqa_diamond,hle,mmlu_pro_aa,math_500_aa,livecodebench_aa,aime_2025_aa,aime_2024_aa,scicode_aa,ifbench_aa,tau2_aa,mmmu_pro_aa,critpt_aa,intelligence_index_aa,math_index_aa,coding_index_aa,agentic_index_aa,hf_match_name,hf_match_conf,lb_match_name,lb_match_conf,zebra_match_name,zebra_match_conf,arc_agi_1,arc_agi_2,has_gpqa,has_hle,has_mmlu_pro,has_math500_or_aime,has_livecodebench,has_scicode,has_zebra,has_musr,has_bbh,has_arc_agi_2,has_intel_idx,has_math_idx,has_coding_idx,n_benchmarks_covered,lb_zebra_puzzle,lb_amps_hard,lb_olympiad,lb_math_comp,lb_web_of_lies,lb_code_generation,zebra_puzzle_acc,bbh_hf,musr_hf,math_lvl5_hf,mmlu_pro_hf,gpqa_hf,ifeval_hf
google_gemma-2-27b-it,79,387,-0.3453879212108402,-0.1462870425859011,120,122,,none,,,,,,,,,,,,,,,,,google/gemma-2-27b-it,exact,,none,gemma-2-27b-it,exact,,,True,False,True,True,False,False,True,True,True,False,False,False,False,6,,,,,,,16.3,49.27284215130387,9.112760416666667,23.86706948640484,38.34958628841608,16.666666666666664,79.77677008116243
minimax_minimax-m2-her,79,387,-0.3644205476842397,-0.3984145808800965,122,123,MiniMax-M2.1,exact,0.83,0.222,0.875,,0.81,0.827,,0.407,0.699,0.854,,0.003,39.42,82.67,32.77,47.4,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
deepcogito_cogito-v2.1-671b,79,387,-0.3774002363460491,0.0775922811702467,123,115,Cogito v2.1 (Reasoning),exact,0.768,0.11,0.849,,0.688,0.727,,0.41,0.463,,,0.0,,72.67,24.77,,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,False,True,True,6,,,,,,,,,,,,,
meta-llama_llama-3.2-3b-instruct,79,387,-0.4776319990671237,-0.4659796717051935,125,124,Llama 3.2 Instruct 3B,exact,0.255,0.052,0.347,0.489,0.083,0.033,0.067,0.052,0.262,0.211,,,9.702177369527044,3.33,,,meta-llama/Llama-3.2-3B-Instruct,exact,,none,Llama-3.2-3B-Instruct@together,exact,,,True,True,True,True,True,True,True,True,True,False,True,True,False,9,,,,,,,7.4,24.05918644688548,1.3734374999999996,17.673716012084594,24.386820330969268,3.803131991051453,73.93161256576994
nvidia_nemotron-3-nano-30b-a3b,79,387,-0.5817652632071487,-0.3877247758983924,126,128,NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),exact,0.757,0.102,0.794,,0.741,0.91,,0.296,0.711,0.409,,0.009,24.27,91.0,18.97,19.14,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
morph_morph-v3-fast,79,387,-0.6108730769870315,-0.7305100940459707,127,131,,none,,,,,,,,,,,,,,,,,,none,,none,,none,,,False,False,False,False,False,False,False,False,False,False,False,False,False,0,,,,,,,,,,,,,
mistralai_mistral-small-3.1-24b-instruct,79,386,-0.6398986281349998,-0.2578626751947902,129,129,Mistral Small 3.1,exact,0.454,0.048,0.659,0.707,0.212,0.037,0.093,0.265,0.299,0.251,,0.0,14.48,3.67,13.89,8.38,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
nousresearch_hermes-3-llama-3.1-70b,79,387,-0.8177686840284704,-0.7272487900924494,133,133,Hermes 3 - Llama-3.1 70B,exact,0.401,0.041,0.571,0.538,0.188,,0.023,0.231,,,,,10.647383158323558,,,,NousResearch/Hermes-3-Llama-3.1-70B,exact,,none,,none,,,True,True,True,True,True,True,False,True,True,False,True,False,False,8,,,,,,,,53.76540869130056,23.42864583333333,20.996978851963743,41.40625,14.87695749440716,76.61438316998897
z-ai_glm-4.5v,79,387,-0.8661374856681865,-0.6225552851824848,135,132,GLM-4.5V (Reasoning),exact,0.684,0.059,0.788,,0.604,0.73,,0.221,0.342,0.225,0.505,0.0,15.09,73.0,10.9,10.91,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
qwen_qwen3-14b,79,387,-0.9278697711772332,-0.8712838361936712,136,135,Qwen3 14B (Reasoning),exact,0.604,0.043,0.774,0.961,0.523,0.557,0.763,0.316,0.405,0.345,,0.0,16.19,55.67,13.06,14.43,,none,,none,,none,,,True,True,True,True,True,True,False,False,False,False,True,True,True,6,,,,,,,,,,,,,
